,Year,Incid_Name,Event_ID,BurnBndAc,tst,ted,lon0,lon1,lat0,lat1
39,2012,BEAR SLIDE,OR4481312113820120916,1834,2012-09-16,2012-09-17 12:00:00,-121.16272660544844,-121.11059577797272,44.79426805452715,44.82420807454304
40,2012,UNNAMED,FL3056908679520121123,1416,2012-11-23,2012-11-23 12:00:00,-86.81882146234057,-86.76816060013158,30.555040473639,30.58844847371813
41,2012,BAKER CANYON,OR4487212099520120714,8788,2012-07-15,2012-07-17 12:00:00,-121.04004958961684,-120.93600586917552,44.79778348012354,44.89011998265113
42,2012,GENEVA TWELVE,OR4451212138520120805,1397,2012-08-06,2012-08-07 12:00:00,-121.39421352103716,-121.36529508140283,44.51052891197975,44.53853063667958
43,2012,HAY CREEK,OR4475912103520120828,1076,2012-08-29,2012-08-29 12:00:00,-121.0370191701985,-120.9906082179948,44.7394795631314,44.7663062417397
44,2012,LEXSFALL,OR4477112100620120714,1720,2012-07-15,2012-07-15 12:00:00,-121.04962702136991,-120.96965639932336,44.75707063150452,44.80467472685723
45,2012,WATERFALLS 2,OR4473312173020120804,12612,2012-08-07,2012-09-18 12:00:00,-121.77607494730096,-121.6489744559064,44.702611113012495,44.78095633096996
46,2012,POLE CREEK,OR4417812169920120909,26982,2012-09-09,2012-10-03 12:00:00,-121.7526728681583,-121.59746932544896,44.10140242538171,44.25434843683093
47,2012,HELLO,CA4196012323320120805,1098,2012-08-07,2012-08-19 12:00:00,-123.2514750554294,-123.20536596156984,41.95310759104257,41.97019146606334
48,2012,BAGLEY,CA4099512207820120818,47731,2012-08-18,2012-09-08 12:00:00,-122.14507979959302,-121.9639225978496,40.94583290416523,41.11817996943012
49,2012,FORT COMPLEX,CA4188812325320120805,24378,2012-08-07,2012-09-14 12:00:00,-123.31363021835983,-123.1269908501476,41.84307829782523,41.96230611413591
50,2012,DALE,CA4047812246920120705,1439,2012-07-05,2012-07-06 12:00:00,-122.49759007921875,-122.46870794071884,40.46655765131459,40.510090221686426
51,2012,FLAT,CA4079212335020120711,1832,2012-07-12,2012-07-29 12:00:00,-123.35484046041888,-123.31517919176628,40.77430066604296,40.81005978443159
52,2012,NORTH PASS,CA3986612313320120818,43689,2012-08-19,2012-09-09 12:00:00,-123.14776471367054,-122.9465398338462,39.81498624382016,39.97289049020401
53,2012,PONDEROSA,CA4038712182320120818,28690,2012-08-18,2012-08-25 12:00:00,-121.8543942297099,-121.69677502254922,40.34626315452101,40.5015240227155
54,2012,WOLF CREEK,MT4750010821620120724,12168,2012-07-24,2012-07-26 12:00:00,-108.2729260314112,-108.12377880754588,47.46542176120539,47.53892918053731
55,2012,SALT CREEK,CA4083812232620120801,1161,2012-08-01,2012-08-03 12:00:00,-122.33675152576228,-122.30616763253016,40.82794371073373,40.85394371902749
56,2012,STAFFORD,CA4054612309020120905,4509,2012-09-06,2012-09-12 12:00:00,-123.14368041471931,-123.070498845845,40.51501399549954,40.56796354598089
57,2012,15 MILE,MT4728310820020120725,1536,2012-07-26,2012-07-26 12:00:00,-108.21553839947752,-108.17673809858434,47.24838414591164,47.29041600409539
58,2012,MILL,CA3931912270720120707,29924,2012-07-08,2012-07-16 12:00:00,-122.72195858921748,-122.53153226310344,39.27103825511142,39.369579051831806
59,2012,DOVE TAIL,MT4730010831620120728,1532,2012-07-28,2012-07-29 12:00:00,-108.35430794245752,-108.30814338740736,47.31622097821565,47.34397938593997
60,2012,SITES COMPLEX,CA3935412239320120708,3609,2012-07-09,2012-07-09 12:00:00,-122.46662924684222,-122.4269627926987,39.33478328272236,39.39109587677336
61,2012,SOUTH CHAIN,MT4731610803320120731,1088,2012-07-31,2012-08-01 12:00:00,-108.09551766171067,-108.0614168922757,47.2997119273636,47.32934805926556
62,2012,SCOTTS,CA3910812308720120907,4980,2012-09-07,2012-09-11 12:00:00,-123.0829981173692,-123.00703535279928,39.121923065097405,39.16764909722809
63,2012,CHAIN BUTTES,MT4751210806020120731,3154,2012-07-31,2012-07-31 12:00:00,-108.07544855820436,-108.02530507237115,47.46502756497023,47.50969569669911
64,2012,WELLS,MT4751610788920120731,9921,2012-07-31,2012-08-02 12:00:00,-107.91728560474684,-107.82591655060828,47.45565516965041,47.58305604719885
65,2012,SKINNER,MT4700310829520120828,3097,2012-08-28,2012-08-28 12:00:00,-108.32263672750292,-108.2573648291235,46.96583430820681,47.00501256627695
66,2012,SIXTEEN COMPLEX,CA3893112233020120904,18191,2012-09-05,2012-09-09 12:00:00,-122.35069085469917,-122.26001881651511,38.93594988318063,39.08375205401416
67,2012,WALKER WYE,CA3901212244220120812,5846,2012-08-13,2012-08-15 12:00:00,-122.45528330188284,-122.35515439056265,39.002887579598166,39.04092445679828
68,2012,WYE,CA3901312259520120812,3110,2012-08-13,2012-08-14 12:00:00,-122.61448060069915,-122.56005100355094,38.99160004290769,39.03072742992703
69,2012,CHIPS,CA4001012127720120729,79978,2012-07-29,2012-09-05 12:00:00,-121.3552151876308,-121.04200927800576,39.99066408767754,40.19888409132778
70,2012,READING,CA4049312045120120723,26872,2012-07-30,2012-08-31 12:00:00,-121.50002969281604,-121.3463764697982,40.48793171877384,40.61783071781343
71,2012,MILL,CA4019912165420120813,1969,2012-08-14,2012-08-20 12:00:00,-121.6571430565068,-121.60554684091392,40.19332888731833,40.222943743958695
72,2012,3 LINKS,ID4619311517320120720,6285,2012-07-24,2012-10-12 12:00:00,-115.1945575196138,-115.12149258291636,46.152605612559,46.216244223392266
73,2012,BLACKTAIL,ID4619011508620120721,1787,2012-07-29,2012-10-12 12:00:00,-115.12077414870794,-115.07803877516932,46.180234840765365,46.21941900558272
74,2012,CLIFF,ID4629311515620120825,2732,2012-08-26,2012-10-02 12:00:00,-115.18678239309293,-115.12417424614448,46.24891358149665,46.31376006187742
75,2012,WEASEL COMPLEX,ID4663111491320120822,1585,2012-09-04,2012-10-02 12:00:00,-114.93356619132663,-114.88669593646824,46.60863942676821,46.6419902506496
76,2012,BELL POINT,ID4623111474920121026,1232,2012-10-02,2012-10-12 12:00:00,-114.76237282224793,-114.7123269002662,46.228278396131145,46.25499606251833
77,2012,CEDAR,ID4631911465120120808,21305,2012-08-09,2012-10-12 12:00:00,-114.7056942895598,-114.53528238007772,46.24111516073612,46.36525236440514
78,2012,FERN,ID4642611450620120727,29736,2012-07-30,2012-10-12 12:00:00,-114.61632376732796,-114.40345646034734,46.39148929639396,46.56128768657754
79,2012,GRAVE,ID4596911507620120812,1444,2012-09-12,2012-10-08 12:00:00,-115.04929707839744,-114.99322222912252,45.9400501508938,45.97314846582907
80,2012,SQUARE ROCK,ID4598111500420120813,5623,2012-08-14,2012-09-26 12:00:00,-115.0252086762394,-114.92673645372436,45.95636314324452,46.01503209235722
81,2012,PORCUPINE COMPLEX,ID4569811508120120809,48980,2012-08-01,2012-10-12 12:00:00,-115.09831097077466,-114.81629641584686,45.59241772749618,45.81339225994492
82,2012,ELIZABETH,ID4678411523520120909,2652,2012-09-09,2012-10-12 12:00:00,-115.28352037196754,-115.19904532638066,46.80585498232165,46.83692528917084
83,2012,6 MILE,TX2736709735620120714,12272,2012-07-14,2012-07-18 12:00:00,-97.36485908318014,-97.2911604553907,27.29731035119181,27.468265277620503
84,2012,MOE,ID4607011453320120811,3978,2012-08-01,2012-10-12 12:00:00,-114.56833405437304,-114.4583228672065,46.03428637321758,46.084463891195696
85,2012,MOOSE  RIDGE,ID4606011494620120808,1287,2012-08-13,2012-10-09 12:00:00,-114.9716472648094,-114.92335680507244,46.04955517083454,46.07511795393049
86,2012,PETTIBONE,ID4606011473320120728,20261,2012-07-29,2012-10-12 12:00:00,-114.84100071061424,-114.61962523791436,45.98765379298823,46.10946541999317
87,2012,WF YELLOW RAIL 2012,TX2957509453720120608,1122,2012-06-09,2012-06-10 12:00:00,-94.5562113617649,-94.53336267324876,29.56032838404775,29.594477392217925
88,2012,VISTA,ID4615011493120120808,7361,2012-08-09,2012-10-12 12:00:00,-115.01447364434318,-114.8989846749028,46.11457649650816,46.17861011026844
89,2012,MCGUIRE COMPLEX,ID4559711556320120827,47257,2012-08-11,2012-10-12 12:00:00,-115.6221985227436,-115.35223839238785,45.56237762372842,45.70546904765848
90,2012,WEST TROUT,ID4616011488520120910,5485,2012-09-05,2012-10-12 12:00:00,-114.90842382330078,-114.82782916348508,46.13005749995369,46.18704920265861
91,2012,DITCH,ID4597711487820120728,18973,2012-07-21,2012-10-12 12:00:00,-114.94120730177552,-114.82395823588382,45.85074435646692,46.03627342977501
92,2012,ISABELLA COMPLEX,ID4690111556720120909,4479,2012-09-10,2012-10-12 12:00:00,-115.60949111842037,-115.53696882724957,46.846452660162186,46.93544984773234
93,2012,HORSE CANYON,NM3216910466220120629,6627,2012-06-29,2012-07-03 12:00:00,-104.6851490716723,-104.62233975447606,32.122143604543794,32.18626867935615
94,2012,MUSTANG COMPLEX,ID4542411459020120730,377632,2012-07-07,2012-10-12 12:00:00,-115.02591160073972,-113.98692691474533,45.297054075884944,45.64861086100251
95,2012,FY12 EXECUTE RX,TX3489510211620120326,1434,2012-04-04,2012-04-04 12:00:00,-102.13913735060822,-102.0796994982332,34.86317142811896,34.93486239408429
96,2012,CHICKEN,TX3547410177720120121,1288,2012-01-22,2012-01-22 12:00:00,-101.79020782153373,-101.76544270471705,35.47576647983925,35.51491488491405
97,2012,GILLEMWATER,TX3640110222320120225,1263,2012-02-25,2012-02-25 12:00:00,-102.22381047007708,-102.18865509535637,36.40099999955038,36.443869724608135
98,2012,LAST CHANCE,CO3974110359220120625,17958,2012-06-25,2012-06-25 12:00:00,-103.65953288613376,-103.5708465312424,39.68861076607402,39.8720683283907
99,2012,RHODES RANCH II,TX3281509825520120807,1253,2012-08-09,2012-08-14 12:00:00,-98.26229718986338,-98.22948995399815,32.788807289824604,32.82273073723377
100,2012,TURNER TATANKA,NE4172010218820120802,15749,2012-08-03,2012-08-03 12:00:00,-102.20822159565006,-102.1002335800157,41.5804220591308,41.73580188694757
101,2012,KEITH COUNTY COMPLEX,NE4138510192220120802,13526,2012-08-03,2012-08-03 12:00:00,-101.98033970871056,-101.75720615494004,41.2322247580662,41.458695618607976
102,2012,SHEEP,ID4553411629920120906,50769,2012-09-04,2012-10-12 12:00:00,-116.30515098522976,-116.09034456634862,45.448511201230986,45.68237557267457
103,2012,LONG MOUNTAIN,OK3436109579520120729,1102,2012-07-29,2012-07-30 12:00:00,-95.8009237476328,-95.77907676448103,34.36018342352622,34.40354888277477
104,2012,UNNAMED,OK3574709631720120226,2374,2012-02-21,2012-02-24 12:00:00,-96.33573915873512,-96.29741960033424,35.72616365143142,35.76748532848518
105,2012,BEAVER JACK,MT4576211467220120808,2954,2012-08-28,2012-09-23 12:00:00,-114.7084356866576,-114.65706616497152,45.72502211657746,45.781435968894925
106,2012,BURNT STRIP,MT4584711463020120808,4400,2012-08-12,2012-10-12 12:00:00,-114.64853126150848,-114.56125031135277,45.81652640536936,45.873020865720434
107,2012,COUGAR,MT4580611458020120823,5688,2012-09-07,2012-10-12 12:00:00,-114.61086072494248,-114.5173500810414,45.76009323651368,45.8166751694236
108,2012,CEDARDALE,OK3631809902420120723,1827,2012-07-22,2012-07-23 12:00:00,-99.06558222104265,-99.01404278594578,36.29752901775004,36.319377052209234
109,2012,GREEN MOUNTAIN,MT4582711468420120808,3615,2012-08-12,2012-10-12 12:00:00,-114.70137652570604,-114.6273635560832,45.80246931110986,45.84984924234868
110,2012,INDIAN RIDGE,ID4578511473920120808,2880,2012-08-10,2012-09-22 12:00:00,-114.76523047830392,-114.7202953828256,45.77778673047328,45.82522525793934
111,2012,NOBLE,OK3521109719820120803,7037,2012-08-03,2012-08-05 12:00:00,-97.2639039772867,-97.19516332272912,35.11594878590779,35.21362962390805
112,2012,WATCHTOWER LAKE,MT4585711450520120808,1829,2012-08-14,2012-10-03 12:00:00,-114.53000220313912,-114.4887424839784,45.84138637368227,45.88097305346372
113,2012,SAWTOOTH,MT4622811430720120830,6598,2012-08-30,2012-10-12 12:00:00,-114.33786396804766,-114.2128549256143,46.20259007667073,46.2392200382742
114,2012,TOWNLEY ROAD,OK3465809881020120725,24139,2012-07-25,2012-08-03 12:00:00,-98.85845336662952,-98.75594076445468,34.6594916823953,34.879197361369165
115,2012,BOTONE 3,OK3509409853220120803,1019,2012-08-03,2012-08-03 12:00:00,-98.5587926130886,-98.4990409332924,35.08707385817206,35.10932848781948
116,2012,CACHE CREEK,OR4598611692820120820,75521,2012-08-21,2012-09-22 12:00:00,-117.05614281094194,-116.742849861332,45.73326263596192,46.0774679966508
117,2012,NINNEKAH,OK3488909789420120803,5438,2012-08-03,2012-08-04 12:00:00,-97.90016310674196,-97.85209543515616,34.8840044679319,34.97481358977541
118,2012,WEISSENFELS RIDGE,WA4618911700520120802,2520,2012-08-02,2012-08-03 12:00:00,-116.9987043700106,-116.95890061367236,46.22193023828993,46.2706874065986
119,2012,BALD MOUNTAIN,OR4532611750420120918,1139,2012-09-19,2012-09-22 12:00:00,-117.52121421636298,-117.49596001854002,45.30678080409086,45.34867575308357
120,2012,DARK VALLEY,TX3291609836520120810,1707,2012-08-10,2012-08-12 12:00:00,-98.38558572310262,-98.3532202701993,32.89191452373632,32.92676668033806
121,2012,UNNAMED,NE4130210129320120908,17990,2012-09-01,2012-09-01 12:00:00,-101.37710327919297,-101.26276102360232,41.200699327711845,41.42134484588797
122,2012,WEST GARCEAU,MT4770211449320120813,10571,2012-08-14,2012-08-20 12:00:00,-114.53319614898304,-114.39121303695208,47.65501048484606,47.73701668637102
123,2012,CONDON MOUNTAIN,MT4760011366720120728,5853,2012-08-08,2012-10-12 12:00:00,-113.69091628365952,-113.60143502160896,47.54797991713952,47.612469204790045
125,2012,LITTLE SWALLOW,ND4759010267420120919,6304,2012-09-19,2012-09-21 12:00:00,-102.68849738384716,-102.59279492934246,47.5341484429963,47.59117200148671
126,2012,WHITE HORSE,MT4716311386320120829,1412,2012-09-07,2012-10-10 12:00:00,-113.8618402949936,-113.79821640696156,47.13694366981457,47.162598714359206
127,2012,FREEZE OUT,ID4639911493920120808,28355,2012-08-10,2012-10-12 12:00:00,-115.00553274913705,-114.76697997984218,46.34824325272399,46.48800859701919
128,2012,COUNTY 27 FIRE,MN4851709658020120930,4653,2012-09-30,2012-10-03 12:00:00,-96.57960889713286,-96.49490518092932,48.51430507272096,48.58486081277636
129,2012,RICHARDVILLE BORDER FIRE,MN4898509689820120929,1206,2012-09-30,2012-09-30 12:00:00,-96.89873372538108,-96.85722634192211,48.99073670433552,49.015237842252645
130,2012,VIKING FIRE,MN4819909633520121002,1698,2012-10-02,2012-10-03 12:00:00,-96.35278757348772,-96.30257557100578,48.19599927954317,48.255398565391545
131,2012,SKOV,MT4805510588720120825,1624,2012-08-25,2012-08-25 12:00:00,-105.8881340315603,-105.75983062768132,48.05157417540795,48.07474694181798
132,2012,UNNAMED,OK3633809614920120226,2507,2012-02-23,2012-02-24 12:00:00,-96.17712208361723,-96.12252577914136,36.289983695890896,36.36670816105283
133,2012,HIGHWAY 13-20,MT4838410541520120911,8372,2012-09-13,2012-09-13 12:00:00,-105.46053866992366,-105.21488801756794,48.320271580269264,48.38666878143914
134,2012,UNNAMED,OK3603409628120120226,5978,2012-02-26,2012-03-06 12:00:00,-96.32050674499028,-96.232397767443,36.00341885379714,36.061316176500384
135,2012,LONGHORN COMPLEX,SD4309610116620120719,41443,2012-07-19,2012-07-26 12:00:00,-101.21410920457612,-100.95702391252348,43.10616034192629,43.2451144761522
136,2012,SPRING CREEK,MN4712909591820120401,1413,2012-04-01,2012-04-05 12:00:00,-95.95540705389236,-95.9252056585143,47.10753987956184,47.15203395380399
137,2012,UNNAMED,OK3558109599820120226,1237,2012-02-24,2012-02-26 12:00:00,-96.01142019528572,-95.98461585134044,35.566130020883804,35.59585115400762
138,2012,WELLNITZ,NE4282410260920120829,77277,2012-08-30,2012-09-02 12:00:00,-102.78607981353252,-102.56997926573048,42.79611907733363,43.18096961445622
139,2012,DEEP CREEK 2,ND4645110388720120824,3500,2012-08-24,2012-08-25 12:00:00,-103.87526635945488,-103.82541150653576,46.39002527474668,46.45641177488358
140,2012,DUGAN,MT4583610457120120914,6688,2012-09-15,2012-09-16 12:00:00,-104.59801108584293,-104.5050065956778,45.77654402928357,45.84577389794708
141,2012,FREEDOM HILL,OK3595609643920120803,57116,2012-08-02,2012-08-07 12:00:00,-96.50086493147136,-96.29538571337991,35.94395377714517,36.14824912679581
143,2012,SNAG FIELD,OK3621509615120120226,1761,2012-02-25,2012-02-29 12:00:00,-96.18761092250604,-96.15131611214883,36.19719362118872,36.22737575308861
144,2012,SPANISH PEAK,OK3581809595220120303,4080,2012-03-03,2012-03-07 12:00:00,-95.98218076872746,-95.91831344411014,35.78278228117739,35.826243378828906
145,2012,HILL,OK3574109645020120304,1380,2012-03-05,2012-03-05 12:00:00,-96.44943144280684,-96.42024274070984,35.72426071745821,35.75590861029417
147,2012,UNNAMED,KS3917109684820121217,1374,2012-12-05,2012-12-05 12:00:00,-96.86856052824572,-96.83077126138454,39.16088941411522,39.1896661268903
148,2012,HAY CANYON,SD4333210306420120424,17815,2012-04-25,2012-04-25 12:00:00,-103.07876500889802,-102.91630415401346,43.24751168651517,43.36115467964481
149,2012,WEST ASH,NE4262410325320120829,55228,2012-08-29,2012-09-01 12:00:00,-103.34411156769464,-103.00463703307258,42.60777768009592,42.76411941198131
150,2012,UNNAMED,KS3927309688620121014,2544,2012-10-11,2012-10-11 12:00:00,-96.88752994165344,-96.84935503021046,39.24794984870658,39.29191309631239
151,2012,UNNAMED,KS3919809675420120726,1037,2012-07-24,2012-07-24 12:00:00,-96.7642287135842,-96.74549179201256,39.17979678869091,39.215076400255725
152,2012,UNNAMED,KS3918309672920120726,1193,2012-07-17,2012-07-18 12:00:00,-96.74125664617723,-96.71889620589512,39.16190157679637,39.203545011493134
153,2012,UNNAMED,KS3918709669620121014,1602,2012-10-02,2012-10-03 12:00:00,-96.71430810223713,-96.68214727297824,39.16604742534844,39.21439214568102
154,2012,UNNAMED,KS3916109676720120827,1869,2012-08-11,2012-08-11 12:00:00,-96.7941739568626,-96.74156863358552,39.14422835445504,39.174224106357485
155,2012,UNNAMED,KS3915909675220121030,4425,2012-10-29,2012-11-23 12:00:00,-96.79351090830176,-96.71909956149553,39.131795522145694,39.206910750330906
156,2012,UNNAMED,KS3926109690820120827,1046,2012-08-18,2012-08-18 12:00:00,-96.92395296026086,-96.89035745783036,39.24842500011374,39.27762396347521
157,2012,DOUTHIT,NE4278010360120120828,29036,2012-08-29,2012-08-31 12:00:00,-103.71590187756954,-103.45234800755446,42.72340808141786,42.84680409623212
158,2012,MYRTLE,SD4360210355020120719,7645,2012-07-20,2012-07-23 12:00:00,-103.58037648778463,-103.51091347887392,43.52126255462326,43.617557075099
159,2012,EAGLE CITY,OK3587509860020120705,1183,2012-07-05,2012-07-05 12:00:00,-98.61194869737444,-98.58958960607544,35.871635252564886,35.913562143678064
160,2012,WHITE DRAW,SD4338710375420120629,9297,2012-06-30,2012-07-04 12:00:00,-103.8410276753869,-103.75125526321978,43.36355598911763,43.45930503929617
161,2012,MCINTOSH,ND4592010137420120824,2653,2012-08-24,2012-08-24 12:00:00,-101.43057329162406,-101.37001052046912,45.91992262113212,45.972130089731934
162,2012,CORNSTALK,ND4597810086820120921,2561,2012-09-21,2012-09-21 12:00:00,-100.87219768707354,-100.81949992698004,45.91044010742508,45.98325671522525
163,2012,LUTHER FIRE,OK3562709719920120803,1983,2012-08-04,2012-08-04 12:00:00,-97.2090447533127,-97.17423375958032,35.623317175047646,35.67653461378143
164,2012,SPUR FIRE,OK3557309829320120803,1168,2012-08-03,2012-08-03 12:00:00,-98.30977617063373,-98.28238896797644,35.54888961976019,35.590837537022765
165,2012,OAKWOOD,OK3588509864020120722,1071,2012-07-22,2012-07-22 12:00:00,-98.65893965923784,-98.61467487344665,35.88133332477315,35.896162603021764
166,2012,FONTENELLE,WY4243611062020120624,58125,2012-06-25,2012-07-07 12:00:00,-110.63221273373064,-110.4070698130214,42.42640279475325,42.63943139963942
167,2012,MEASLES-BLUESTEM,OK3662609647520120907,1340,2012-09-07,2012-09-09 12:00:00,-96.48056628050938,-96.4567703900414,36.5834620564288,36.63158021505495
168,2012,PAWNEE FIRE,OK3645609685720120907,3450,2012-09-07,2012-09-12 12:00:00,-96.88759539880856,-96.85326476265864,36.38473051370232,36.45702145607538
170,2012,RADAR HILL,ID4426411200420120825,1838,2012-08-25,2012-08-25 12:00:00,-112.00989268370034,-111.96843766236822,44.26445184967315,44.29780577531631
171,2012,ALPINE LAKE,WY4306610945120120809,39158,2012-08-08,2012-09-24 12:00:00,-109.47485263673974,-109.12205269267758,43.0052438610154,43.19012057780248
172,2012,CUSHING,OK3593309667320120804,5654,2012-08-04,2012-08-05 12:00:00,-96.68959936032218,-96.6091979693108,35.90568296469712,35.99078238260091
173,2012,GILEAD,WY4443210695920120814,5374,2012-08-24,2012-09-23 12:00:00,-106.9774468458952,-106.89641459755558,44.39159529178932,44.46238566946312
175,2012,SEMINOE,WY4217210691820120721,3570,2012-07-22,2012-07-27 12:00:00,-106.94418108618817,-106.87119042180046,42.16161822949772,42.19725384398976
176,2012,BEAR MOUNTAIN COMPLEX,WY4225910719620120727,8196,2012-07-28,2012-08-05 12:00:00,-107.21603414555932,-107.11207895707815,42.20866477665817,42.27568947708773
177,2012,GLENCOE,OK3615809694020120804,6244,2012-08-04,2012-08-06 12:00:00,-96.98050158048352,-96.89940381203628,36.16020156824783,36.22561367363221
